market_id,entry_secs,entry_price,side,resolution,win,ep_bin
1386863,47,0.935,DOWN,0,True,0.93-0.96
1386907,46,0.95,UP,1,True,0.93-0.96
1386911,44,0.94,UP,1,True,0.93-0.96
1386950,41,0.925,UP,1,True,0.90-0.93
1386957,47,0.945,DOWN,0,True,0.93-0.96
1386998,43,0.93,UP,1,True,0.90-0.93
1387002,46,0.955,DOWN,0,True,0.93-0.96
1387008,43,0.935,DOWN,0,True,0.93-0.96
1387092,43,0.94,DOWN,0,True,0.93-0.96
1387103,41,0.95,DOWN,0,True,0.93-0.96
1387108,42,0.985,UP,1,True,>0.96
1387113,41,0.995,DOWN,0,True,>0.96
1387139,40,0.92,UP,1,True,0.90-0.93
1387315,45,0.915,UP,1,True,0.90-0.93
1387337,42,0.915,DOWN,0,True,0.90-0.93
1387338,42,0.995,UP,1,True,>0.96
1387344,41,0.995,DOWN,0,True,>0.96
1387345,45,0.96,DOWN,0,True,0.93-0.96
1387350,45,0.955,DOWN,0,True,0.93-0.96
1387383,43,0.995,DOWN,0,True,>0.96
1387386,44,0.985,DOWN,0,True,>0.96
1387390,44,0.985,UP,1,True,>0.96
1387391,46,0.995,UP,1,True,>0.96
1387395,30,0.945,DOWN,0,True,0.93-0.96
1387402,41,0.93,UP,1,True,0.90-0.93
1387407,47,0.975,UP,1,True,>0.96
1387413,44,0.96,UP,1,True,0.93-0.96
1387414,45,0.945,DOWN,0,True,0.93-0.96
1387423,41,0.995,UP,1,True,>0.96
1387430,44,0.95,DOWN,0,True,0.93-0.96
1387527,45,0.975,UP,1,True,>0.96
1387561,45,0.955,DOWN,0,True,0.93-0.96
1387563,46,0.935,UP,1,True,0.93-0.96
1387574,46,0.965,UP,1,True,>0.96
1387576,46,0.955,UP,1,True,0.93-0.96
1387581,45,0.935,UP,1,True,0.93-0.96
1387582,46,0.895,DOWN,0,True,0.88-0.90
1387593,47,0.895,DOWN,0,True,0.88-0.90
1387601,40,0.955,DOWN,0,True,0.93-0.96
1387602,46,0.975,UP,1,True,>0.96
1387609,46,0.94,UP,1,True,0.93-0.96
1387620,46,0.945,UP,1,True,0.93-0.96
1387621,44,0.945,UP,1,True,0.93-0.96
1387820,42,0.925,DOWN,0,True,0.90-0.93
1387825,45,0.955,DOWN,0,True,0.93-0.96
