market_id,entry_secs,entry_price,side,resolution,win
1910277,60,0.9,DOWN,0,True
1910322,33,0.9,DOWN,0,True
1910330,60,0.95,DOWN,0,True
1910404,60,0.99,DOWN,0,True
1910415,0,0.99,DOWN,0,True
1910446,1,0.99,DOWN,0,True
1910459,60,0.96,UP,1,True
1910496,50,0.89,DOWN,0,True
1910502,60,0.99,DOWN,0,True
1910514,4,0.93,DOWN,0,True
1910528,49,0.9,DOWN,0,True
1910566,60,0.9,DOWN,0,True
1910620,2,0.9,UP,1,True
1910628,60,0.94,UP,1,True
1910645,60,0.97,UP,1,True
1910793,59,0.97,DOWN,0,True
1910908,60,0.9,DOWN,0,True
1911068,60,0.93,DOWN,0,True
1911114,59,0.89,UP,1,True
1911255,8,0.999,UP,1,True
1911367,60,0.88,DOWN,0,True
1911597,60,0.91,UP,1,True
1911613,14,0.9,DOWN,0,True
1911746,46,0.88,UP,1,True
1911817,60,0.97,UP,1,True
1911876,3,0.97,DOWN,0,True
1911893,46,0.88,UP,1,True
1911956,58,0.88,UP,1,True
1911979,60,0.96,DOWN,0,True
1912007,5,0.88,UP,1,True
1912021,60,0.91,DOWN,0,True
1912091,60,0.92,DOWN,0,True
1912113,2,0.95,UP,1,True
1912128,60,0.96,UP,1,True
1912184,2,0.96,UP,1,True
1912263,31,0.89,DOWN,0,True
1912321,60,0.99,UP,1,True
1912329,60,0.998,UP,1,True
1912383,40,0.88,UP,1,True
1912394,60,0.97,UP,1,True
1912443,60,0.98,UP,1,True
1912445,60,0.94,DOWN,0,True
1912487,50,0.9,DOWN,0,True
1912499,60,0.92,UP,1,True
1912518,8,0.89,DOWN,0,True
1912620,60,0.9,DOWN,0,True
1912677,60,0.99,DOWN,0,True
1912689,60,0.96,UP,1,True
1912708,60,0.96,DOWN,0,True
1912763,0,0.91,DOWN,0,True
1912767,43,0.88,DOWN,0,True
1912784,60,0.96,DOWN,0,True
1912791,60,0.95,UP,1,True
1912824,39,0.89,UP,1,True
1912828,45,0.96,DOWN,0,True
1912859,17,0.89,UP,1,True
1912872,60,0.99,DOWN,0,True
1912961,60,0.97,DOWN,0,True
1912974,60,0.99,DOWN,0,True
1913006,60,0.97,UP,1,True
1913017,60,0.99,UP,1,True
1913091,60,0.97,DOWN,0,True
1913107,60,0.98,DOWN,0,True
1913148,58,0.88,UP,1,True
1913158,7,0.88,DOWN,0,True
1913196,60,0.99,UP,1,True
1913209,0,0.99,UP,1,True
1913237,29,0.91,UP,1,True
1913245,60,0.91,DOWN,0,True
1913270,4,0.9,DOWN,0,True
1913322,60,0.91,DOWN,0,True
1913357,25,0.89,UP,1,True
1913371,31,0.88,DOWN,0,True
1913406,60,0.98,DOWN,0,True
1913431,15,0.89,DOWN,1,False
1913456,9,0.88,DOWN,0,True
1913479,60,0.98,DOWN,0,True
1913507,2,0.99,DOWN,0,True
1913521,6,0.9,UP,1,True
1913537,60,0.89,DOWN,0,True
1913549,25,0.91,UP,1,True
1913579,60,0.96,UP,1,True
1913640,52,0.9,UP,1,True
1913647,0,0.999,DOWN,0,True
1913665,60,0.89,UP,1,True
1913790,60,0.93,DOWN,0,True
1913803,60,0.99,DOWN,0,True
1913821,36,0.89,UP,1,True
1913829,60,0.997,UP,1,True
1913867,56,0.88,DOWN,0,True
1913876,4,0.89,DOWN,0,True
1913890,53,0.89,UP,1,True
1913903,60,0.91,UP,1,True
1913947,51,0.9,DOWN,0,True
1913994,37,0.9,DOWN,0,True
1914022,60,0.97,DOWN,0,True
1914038,29,0.88,UP,1,True
1914056,3,0.89,DOWN,0,True
1914072,60,0.98,UP,1,True
1914081,60,0.91,UP,1,True
1914121,52,0.88,DOWN,0,True
1914130,56,0.9,DOWN,1,False
1914142,60,0.96,UP,1,True
1914152,41,0.88,UP,1,True
1914315,60,0.97,DOWN,0,True
1914368,60,0.91,UP,1,True
1914448,60,0.91,DOWN,0,True
1914455,4,0.89,DOWN,0,True
1914470,0,0.99,DOWN,0,True
1914486,4,0.91,UP,1,True
1914515,60,0.99,DOWN,0,True
1914530,60,0.91,UP,1,True
1914587,26,0.88,DOWN,0,True
1914593,59,0.92,DOWN,0,True
1914621,0,0.99,UP,1,True
